id,ISD07,ISD04,ISD05,ISD08,ISD14,ISD28,Reli01,Reli02,Reli03,Reli04,Reli05,Reli06,Reli07,Reli08,Reli09,Reli10,Religiosidad,EAR01,EAR02,EAR03,EAR04,EAR05,EAR06,EAR07,EAR08,EAR09,EAR10,Autoestima,SASS01,SASS02,SASS03,SASS04,SASS05,SASS06,SASS07,SASS08,SASS09,SASS10,SASS11,SASS12,SASS13,SASS14,SASS15,SASS16,SASS17,SASS18,SASS19,SASS20,SASS21,SASS_Total,Estres_Percibido
31,Femenino,Chile,43 a√±os,43,4. Media completa / TÈcnica incompleta.,No,2,2,2,4,2,2,2,2,2,2,22,4,4,Muy en desacuerdo,3,De acuerdo,4,3,De acuerdo,En desacuerdo,En desacuerdo,32,0,3,3,3,0,1,0,3,0,2,3,2,1,0,1,0,2,3,3,2,2,32,27
63,Masculino,Chile,43 a√±os,43,3. Media incompleta.,No,3,2,3,3,3,2,3,2,2,2,25,3,3,En desacuerdo,4,En desacuerdo,4,4,De acuerdo,Muy en desacuerdo,De acuerdo,32,2,0,3,3,3,3,3,2,1,2,2,2,2,1,1,1,2,2,2,1,3,38,28
34,Masculino,Chile,43,43,2. B·sica completa.,No,3,4,3,4,2,3,3,3,2,3,30,4,3,En desacuerdo,4,En desacuerdo,4,4,De acuerdo,En desacuerdo,En desacuerdo,33,0,2,2,1,1,2,0,1,1,2,2,2,2,0,1,2,2,1,1,1,2,26,29
20,Femenino,chile,42,42,6. Universitaria completa.,No,1,1,1,1,1,1,1,1,1,1,10,3,3,En desacuerdo,4,De acuerdo,3,2,Muy de acuerdo,Muy de acuerdo,En desacuerdo,25,0,2,1,3,3,3,2,1,1,3,3,3,3,0,1,3,2,3,0,0,3,37,39
12,Femenino,Chile,42,42,5. Universitaria incompleta / TÈcnica completa,No,4,4,4,4,3,4,4,4,4,4,39,4,4,Muy en desacuerdo,4,Muy de acuerdo,4,4,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,35,3,0,3,2,1,2,2,3,2,2,3,2,3,2,3,2,3,3,2,2,2,45,26
20,Masculino,Chile,42,42,4. Media completa / TÈcnica incompleta.,No,4,3,4,4,4,4,4,4,2,4,37,3,4,Muy en desacuerdo,3,Muy en desacuerdo,3,3,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,35,0,3,3,1,1,3,3,1,0,2,3,2,3,0,1,1,3,3,3,3,3,39,23
18,Femenino,Chile,41,41,5. Universitaria incompleta / TÈcnica completa,No,3,3,2,3,1,3,3,3,3,1,25,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,2,2,2,3,2,2,3,2,3,0,2,2,3,3,3,3,3,46,24
5,Femenino,Chile,41,41,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,1,3,1,1,1,12,4,4,Muy en desacuerdo,3,Muy en desacuerdo,3,4,Muy de acuerdo,De acuerdo,Muy en desacuerdo,33,0,3,3,2,2,3,3,3,1,2,2,1,3,1,3,2,3,3,3,1,3,44,24
24,Femenino,Chile,36,41,5. Universitaria incompleta / TÈcnica completa,No,1,1,1,1,1,1,1,1,1,1,10,1,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,2,3,3,3,1,3,3,2,3,1,2,1,3,3,3,3,3,48,13
13,Femenino,chile,41,41,5. Universitaria incompleta / TÈcnica completa,No,2,2,2,2,1,3,2,2,2,2,20,3,4,Muy en desacuerdo,4,En desacuerdo,3,3,De acuerdo,En desacuerdo,En desacuerdo,32,3,0,3,1,0,2,2,3,3,2,3,3,2,3,3,3,3,3,1,2,2,45,34
30,Masculino,chile,40,42,4. Media completa / TÈcnica incompleta.,No,4,3,3,3,3,3,4,3,1,3,30,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,2,2,2,3,2,2,2,3,2,3,1,2,2,2,3,0,1,2,40,19
27,Femenino,Chile,40,40,3. Media incompleta.,No,3,3,3,3,3,4,4,3,3,3,32,4,3,Muy de acuerdo,4,Muy de acuerdo,4,4,Muy de acuerdo,En desacuerdo,Muy de acuerdo,26,3,0,3,3,3,3,2,1,1,2,2,2,3,2,2,2,0,1,3,0,3,38,36
27,Masculino,chile,40,40,4. Media completa / TÈcnica incompleta.,No,3,2,3,4,2,3,4,3,3,3,30,3,3,De acuerdo,3,De acuerdo,3,2,Muy de acuerdo,De acuerdo,En desacuerdo,24,2,0,2,3,2,2,2,2,1,2,3,2,2,0,3,2,2,2,2,1,2,37,30
19,Femenino,chile,40 a√±os,40,3. Media incompleta.,No,3,3,3,3,3,3,3,3,2,3,29,3,3,En desacuerdo,4,De acuerdo,3,2,Muy de acuerdo,De acuerdo,En desacuerdo,26,3,0,3,1,1,3,1,1,1,2,2,2,3,2,2,2,3,3,3,1,3,39,38
9,Femenino,chile,15,40,4. Media completa / TÈcnica incompleta.,No,4,4,3,4,4,4,4,4,3,4,38,4,1,Muy en desacuerdo,3,Muy en desacuerdo,4,3,De acuerdo,En desacuerdo,En desacuerdo,31,3,0,3,3,1,2,2,1,1,2,2,2,3,2,2,3,1,2,3,2,1,40,25
40,Masculino,Chile,35 a√±os,39,5. Universitaria incompleta / TÈcnica completa,No,4,4,4,4,4,4,4,4,1,4,37,3,4,En desacuerdo,3,De acuerdo,3,3,De acuerdo,De acuerdo,De acuerdo,27,0,3,2,2,1,1,2,1,1,2,2,2,3,2,3,3,2,2,3,2,2,39,33
15,Femenino,chile,40,40,5. Universitaria incompleta / TÈcnica completa,No,1,1,1,2,1,2,1,2,2,1,14,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,40,3,0,3,3,2,3,2,3,2,2,2,2,2,2,2,3,3,3,1,3,3,46,14
18,Femenino,chile,39,39,4. Media completa / TÈcnica incompleta.,SÌ,1,3,3,3,3,3,3,3,2,2,26,4,4,Muy de acuerdo,4,Muy de acuerdo,4,4,Muy de acuerdo,En desacuerdo,De acuerdo,28,1,0,2,1,1,2,0,2,1,2,3,2,3,0,2,3,1,2,1,1,3,30,30
3,Femenino,Chile,38,38,5. Universitaria incompleta / TÈcnica completa,No,2,4,3,4,2,4,4,3,3,3,32,4,4,Muy en desacuerdo,3,Muy en desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,3,2,3,3,2,1,3,3,3,3,2,2,3,3,3,3,2,2,50,16
20,Masculino,Chile,38,38,3. Media incompleta.,No,4,3,4,4,3,4,4,4,4,4,38,1,1,Muy en desacuerdo,1,Muy en desacuerdo,1,1,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,25,0,3,1,3,2,2,1,2,3,3,3,2,1,1,1,0,0,3,3,0,3,34,26
41,Masculino,Chile,38,38,5. Universitaria incompleta / TÈcnica completa,No,3,3,3,4,2,4,3,4,3,3,32,3,4,Muy en desacuerdo,3,En desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,En desacuerdo,35,3,0,3,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,39,25
59,Masculino,Chile,38 a√±os,38,4. Media completa / TÈcnica incompleta.,No,3,2,3,1,3,3,3,3,4,1,26,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,53,17
64,Masculino,Chile,38 a√±os,38,4. Media completa / TÈcnica incompleta.,No,1,2,1,1,1,1,1,1,1,1,11,4,3,Muy en desacuerdo,4,De acuerdo,3,3,De acuerdo,En desacuerdo,En desacuerdo,31,0,3,2,2,2,2,2,2,2,3,3,2,2,2,1,1,1,2,1,0,2,35,35
26,Masculino,Chile,38 a√±os,38,5. Universitaria incompleta / TÈcnica completa,No,1,1,1,1,1,1,1,1,1,1,10,3,3,En desacuerdo,4,En desacuerdo,3,3,De acuerdo,En desacuerdo,En desacuerdo,30,3,0,3,3,2,2,0,1,0,1,2,2,2,0,0,3,1,2,1,1,1,29,28
19,Femenino,Chlie,39,39,5. Universitaria incompleta / TÈcnica completa,SÌ,2,1,2,3,1,3,3,3,1,3,22,3,3,Muy en desacuerdo,3,Muy en desacuerdo,3,3,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,34,3,0,3,2,0,2,2,2,0,1,2,2,3,1,3,2,3,2,3,2,2,38,29
52,Femenino,Chile,38 a√±os,38,4. Media completa / TÈcnica incompleta.,No,2,3,2,3,2,2,4,2,3,1,24,4,3,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,38,3,0,2,2,2,3,2,3,1,2,2,2,2,2,1,1,3,3,2,2,2,40,17
37,Masculino,Chile,37,37,5. Universitaria incompleta / TÈcnica completa,No,1,1,1,1,1,1,1,1,1,1,10,4,4,En desacuerdo,4,De acuerdo,3,3,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,31,0,3,2,3,1,3,0,1,2,3,3,2,2,0,2,1,3,3,2,1,1,37,41
16,Femenino,chile,37,37,5. Universitaria incompleta / TÈcnica completa,SÌ,4,4,4,4,4,4,4,4,1,4,37,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,2,3,3,3,2,2,3,3,2,2,3,3,2,3,3,2,2,50,22
62,Masculino,Chile,44 a√±os,44,4. Media completa / TÈcnica incompleta.,No,3,3,3,3,2,3,3,3,2,3,28,3,3,De acuerdo,3,En desacuerdo,3,2,De acuerdo,De acuerdo,De acuerdo,25,0,3,3,2,1,2,1,1,1,1,3,1,3,2,3,3,2,2,2,2,3,38,32
4,Masculino,Chile,36,36,6. Universitaria completa.,No,1,1,1,1,1,1,1,1,1,1,10,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,39,3,0,3,3,3,2,3,3,2,3,3,2,3,0,0,2,3,3,0,2,3,43,16
1,Masculino,Chile,37 a√±os,37,5. Universitaria incompleta / TÈcnica completa,No,3,4,3,3,3,3,3,3,3,3,31,3,3,Muy en desacuerdo,4,Muy en desacuerdo,3,3,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,33,3,0,3,3,3,3,3,2,2,2,3,3,3,3,1,2,3,3,1,2,1,48,27
32,Masculino,chile,36,36,4. Media completa / TÈcnica incompleta.,No,1,1,3,3,1,1,4,3,3,1,21,4,4,Muy en desacuerdo,1,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,34,3,0,3,1,2,2,3,1,1,2,3,2,3,0,0,0,2,3,3,2,2,36,28
50,Masculino,Chile,37 a√±os,37,4. Media completa / TÈcnica incompleta.,No,2,1,1,3,1,2,2,1,1,3,17,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,3,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,36,2,0,2,2,2,2,2,2,1,2,2,2,2,1,3,3,3,3,1,1,2,38,23
8,Femenino,chile,37,37,3. Media incompleta.,No,3,2,2,3,2,2,3,3,2,2,24,4,4,En desacuerdo,4,En desacuerdo,3,4,De acuerdo,De acuerdo,En desacuerdo,32,0,3,3,1,3,3,2,2,1,3,3,3,1,0,1,1,1,3,3,2,1,39,20
23,Masculino,chile,37,37,5. Universitaria incompleta / TÈcnica completa,No,1,1,2,1,1,1,3,3,3,2,18,1,2,De acuerdo,2,De acuerdo,2,2,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,16,0,0,0,1,2,2,2,1,1,1,0,0,1,0,3,2,1,1,2,1,2,21,31
11,Femenino,chile,37,37,4. Media completa / TÈcnica incompleta.,No,1,4,3,3,4,4,4,2,1,1,27,4,4,Muy en desacuerdo,3,Muy en desacuerdo,3,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,3,3,1,3,3,0,3,3,3,3,3,2,1,1,3,2,3,3,46,16
33,Femenino,Chile,37 a√±os,37,4. Media completa / TÈcnica incompleta.,No,3,3,3,3,2,3,3,2,2,3,27,4,4,Muy en desacuerdo,4,Muy en desacuerdo,3,4,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,2,2,3,3,2,2,3,3,3,2,1,2,1,2,3,3,2,2,45,30
20,Femenino,chile,37 a√±os,37,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,1,1,1,1,1,10,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,40,0,3,3,3,3,1,1,1,1,1,1,1,2,0,2,2,3,3,3,3,3,37,14
27,Femenino,Chile,37,37,3. Media incompleta.,No,3,3,3,4,3,4,4,3,2,3,32,3,2,De acuerdo,3,En desacuerdo,3,2,En desacuerdo,En desacuerdo,En desacuerdo,27,0,3,3,2,1,2,2,3,1,2,3,2,3,2,2,2,2,1,2,2,2,40,29
65,Masculino,Chile,37 a√±os,37,4. Media completa / TÈcnica incompleta.,No,3,2,4,4,2,4,4,4,4,4,35,4,4,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,3,2,2,3,2,1,2,3,2,3,1,2,3,3,3,1,2,3,44,20
29,Masculino,Chile,37,37,4. Media completa / TÈcnica incompleta.,No,3,3,3,3,3,3,3,3,3,3,30,4,3,Muy en desacuerdo,4,En desacuerdo,3,4,De acuerdo,En desacuerdo,En desacuerdo,33,3,0,3,0,2,3,3,3,1,2,2,2,2,1,1,2,2,3,1,2,2,38,26
14,Femenino,chile,36,36,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,1,1,1,1,1,10,4,3,Muy en desacuerdo,4,Muy en desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,3,2,3,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,46,23
5,Femenino,chile,30 a√±os,36,6. Universitaria completa.,No,3,3,3,4,3,4,4,4,2,4,34,3,3,Muy en desacuerdo,3,Muy en desacuerdo,3,3,De acuerdo,En desacuerdo,Muy en desacuerdo,32,0,3,2,3,0,2,3,2,3,3,3,2,3,3,2,2,3,3,3,1,2,46,23
7,Femenino,Chile,36,36,4. Media completa / TÈcnica incompleta.,No,4,4,4,4,2,4,4,3,1,4,34,4,4,Muy en desacuerdo,4,Muy en desacuerdo,3,4,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,37,3,0,3,0,3,3,3,3,3,3,3,3,3,1,2,1,3,3,3,2,3,48,28
6,Femenino,chile,36 a√±os,36,4. Media completa / TÈcnica incompleta.,No,1,1,1,1,1,1,1,1,1,1,10,3,2,De acuerdo,2,Muy de acuerdo,2,2,Muy de acuerdo,De acuerdo,Muy de acuerdo,18,0,2,2,2,2,1,2,2,2,3,3,3,3,3,2,2,3,3,3,0,3,43,38
26,Femenino,Chile,36,36,3. Media incompleta.,No,4,4,4,4,4,4,4,4,4,4,40,4,3,Muy en desacuerdo,4,Muy en desacuerdo,4,4,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,39,0,3,3,2,2,3,3,3,1,2,2,3,3,2,2,2,3,3,2,2,3,46,17
32,Femenino,Chile,36 a√±os,36,2. B·sica completa.,No,2,2,2,2,2,2,3,3,2,2,22,3,3,En desacuerdo,3,De acuerdo,3,3,En desacuerdo,En desacuerdo,En desacuerdo,29,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,28
14,Femenino,chile,36,36,5. Universitaria incompleta / TÈcnica completa,No,3,2,3,3,3,3,4,2,1,4,28,4,4,Muy en desacuerdo,4,Muy en desacuerdo,3,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,36,3,0,2,2,2,2,2,2,1,2,3,3,2,2,2,2,3,3,1,2,2,41,15
17,Masculino,chile,36,36,4. Media completa / TÈcnica incompleta.,SÌ,1,1,1,1,1,1,1,3,1,1,12,3,3,De acuerdo,4,De acuerdo,2,2,De acuerdo,En desacuerdo,En desacuerdo,26,2,0,1,1,0,1,1,2,1,2,3,3,3,1,2,2,2,3,2,2,3,34,20
41,Femenino,Chile,36 a√±os,36,4. Media completa / TÈcnica incompleta.,No,2,3,3,3,3,3,3,3,3,2,28,4,4,Muy en desacuerdo,4,Muy en desacuerdo,2,4,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,35,2,0,2,0,1,1,2,2,0,2,2,2,2,0,2,3,3,2,2,1,1,31,38
21,Femenino,chile,36 a√±os,36,5. Universitaria incompleta / TÈcnica completa,No,3,4,3,4,3,4,4,3,1,4,33,4,3,Muy en desacuerdo,4,Muy en desacuerdo,4,4,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,38,3,0,3,2,2,3,3,2,0,2,3,2,3,2,2,2,3,3,3,2,3,45,18
10,Femenino,Chile,36 a√±os,36,4. Media completa / TÈcnica incompleta.,No,3,3,3,3,2,3,3,3,3,3,29,4,3,En desacuerdo,3,De acuerdo,3,3,De acuerdo,En desacuerdo,En desacuerdo,29,0,3,3,2,2,2,3,2,1,2,3,2,2,0,2,2,2,3,3,3,2,42,23
12,Femenino,Chile,43,43,4. Media completa / TÈcnica incompleta.,No,3,3,3,3,2,3,3,3,2,3,28,4,3,En desacuerdo,4,En desacuerdo,3,4,De acuerdo,De acuerdo,Muy en desacuerdo,32,3,0,3,1,1,2,2,3,1,2,3,3,2,3,3,3,2,3,3,2,3,45,23
