id,PSS_01_RAW,PSS_02_RAW,PSS_03_RAW,PSS_04_RAW,PSS_05_RAW,PSS_06_RAW,PSS_07_RAW,PSS_08_RAW,PSS_09_RAW,PSS_10_RAW,PSS_11_RAW,PSS_12_RAW,PSS_13_RAW,PSS_14_RAW,PSS_01_DIR,PSS_02_DIR,PSS_03_DIR,PSS_04_DIR,PSS_05_DIR,PSS_06_DIR,PSS_07_DIR,PSS_08_DIR,PSS_09_DIR,PSS_10_DIR,PSS_11_DIR,PSS_12_DIR,PSS_13_DIR,PSS_14_DIR,PSS_RAW_NA,PSS_DIR_NA,PSS_DIRt
0azsjnjv8h,De vez en cuando,Casi nunca,Muy a menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,2,1,4,1,1,1,1,2,1,2,2,3,2,2,0,0,25
0g4bzzufl5,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,De vez en cuando,A menudo,Casi nunca,De vez en cuando,3,3,3,1,1,2,2,2,1,3,2,3,3,2,0,0,31
0gp37ea8qk,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,De vez en cuando,A menudo,Nunca,2,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,16
0h5cls6t7u,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Muy a menudo,De vez en cuando,Casi nunca,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,4,4,4,2,2,3,2,4,2,3,4,4,3,4,0,0,45
0hmlz4cl4e,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Muy a menudo,De vez en cuando,A menudo,2,2,4,1,0,1,1,2,1,2,1,4,2,3,0,0,26
0lnc7qx6fp,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,Casi nunca,Casi nunca,A menudo,Casi nunca,De vez en cuando,A menudo,Casi nunca,1,2,2,2,2,1,1,1,3,1,1,2,1,1,0,0,21
0n2op4qlkl,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,Muy a menudo,Muy a menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,1,2,2,1,1,0,0,1,1,2,2,2,1,1,0,0,17
0nde7p22d3,Casi nunca,Nunca,Nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,De vez en cuando,Nunca,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,7
0o7nzb18js,Nunca,Nunca,Casi nunca,A menudo,A menudo,A menudo,A menudo,Nunca,A menudo,A menudo,Casi nunca,A menudo,A menudo,Nunca,0,0,1,1,1,1,1,0,1,1,1,3,1,0,0,0,12
0q858l7tbk,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,Muy a menudo,4,4,4,2,2,1,2,4,2,0,3,4,2,4,0,0,38
0rno3uzl0e,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0,0,29
0ugjce64oo,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,Casi nunca,1,2,2,1,1,1,1,1,1,2,2,3,1,1,0,0,20
0umgeoryw9,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,Casi nunca,1,1,2,1,1,1,1,1,1,2,2,3,1,1,0,0,19
0vaavp49xk,De vez en cuando,De vez en cuando,Muy a menudo,Casi nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,Casi nunca,A menudo,Muy a menudo,Nunca,De vez en cuando,2,2,4,3,2,1,2,3,1,3,3,4,4,2,0,0,36
0w6ssflgwx,De vez en cuando,De vez en cuando,A menudo,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Casi nunca,De vez en cuando,2,2,3,3,3,2,2,3,2,3,3,4,3,2,0,0,37
0xzmpra3r8,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,A menudo,Casi nunca,A menudo,2,3,3,1,1,2,1,2,3,3,2,3,3,3,0,0,32
0y5a1124sk,A menudo,A menudo,Muy a menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,3,3,4,2,1,1,2,2,2,2,3,4,2,2,0,0,33
10tuv9y1t0,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Nunca,De vez en cuando,Muy a menudo,Nunca,De vez en cuando,2,2,4,1,1,1,2,2,2,4,2,4,4,2,0,0,33
12coelxoyj,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,A menudo,Casi nunca,Casi nunca,2,3,2,1,1,2,2,3,2,2,1,3,3,1,0,0,28
14385229586,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,2,1,2,1,1,1,1,3,1,1,2,3,1,3,0,0,23
1524o39vgp,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,2,2,2,2,2,2,1,1,1,2,1,2,2,1,0,0,23
17ugds2jor,De vez en cuando,De vez en cuando,A menudo,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,Casi nunca,A menudo,Muy a menudo,Casi nunca,De vez en cuando,2,2,3,1,0,2,2,3,1,3,3,4,3,2,0,0,31
1dzba3pc63,Casi nunca,Nunca,Casi nunca,A menudo,A menudo,A menudo,Muy a menudo,Casi nunca,Muy a menudo,A menudo,Casi nunca,De vez en cuando,Muy a menudo,Nunca,1,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,10
1ga2040svz,Casi nunca,Casi nunca,A menudo,A menudo,Muy a menudo,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,De vez en cuando,Muy a menudo,Casi nunca,1,1,3,1,0,0,1,2,0,0,1,2,0,1,0,0,13
1gcex58vx8,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,Muy a menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,2,3,3,2,1,1,1,4,1,2,3,2,2,3,0,0,30
1hhe7yntyv,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,2,3,2,2,3,2,2,1,2,2,2,2,2,2,0,0,29
1hlrbn3y6q,Casi nunca,Nunca,De vez en cuando,A menudo,A menudo,Muy a menudo,A menudo,Nunca,Muy a menudo,A menudo,De vez en cuando,A menudo,A menudo,Casi nunca,1,0,2,1,1,0,1,0,0,1,2,3,1,1,0,0,14
1kjpr4ot26,De vez en cuando,Casi nunca,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,A menudo,Muy a menudo,A menudo,De vez en cuando,2,1,3,1,1,1,1,2,1,3,3,4,1,2,0,0,26
1m9z8gvdsh,A menudo,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,A menudo,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,3,2,1,2,1,1,1,1,1,3,2,2,2,1,0,0,23
1n2lmcj5gy,Casi nunca,Casi nunca,Casi nunca,A menudo,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,De vez en cuando,A menudo,Casi nunca,1,1,1,1,3,0,0,4,0,0,1,2,1,1,0,0,16
1oyezntv2a,De vez en cuando,Casi nunca,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,Casi nunca,2,1,3,1,1,1,1,2,1,1,2,3,3,1,0,0,23
1qbzp3w53m,De vez en cuando,Casi nunca,Casi nunca,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,2,1,1,1,1,1,1,1,1,2,1,2,1,3,0,0,19
1sqqbqv2x2,A menudo,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,De vez en cuando,A menudo,De vez en cuando,3,2,3,1,1,2,1,1,1,1,1,2,1,2,0,0,22
1x4vwsfod5,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,Casi nunca,Muy a menudo,2,4,4,2,2,3,2,4,2,2,2,4,3,4,0,0,40
1x9db0w61z,De vez en cuando,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,2,1,2,1,2,2,2,2,2,3,2,3,2,2,0,0,28
1xve144yu5,De vez en cuando,Nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,A menudo,Casi nunca,Muy a menudo,A menudo,Nunca,2,0,1,0,0,0,0,0,0,1,1,4,1,0,0,0,10
1xwvchz9vj,Nunca,Casi nunca,A menudo,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,A menudo,Muy a menudo,Nunca,De vez en cuando,0,1,3,1,1,1,1,1,1,1,3,4,4,2,0,0,24
1ymttk9xtv,Casi nunca,Nunca,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,A menudo,Muy a menudo,Casi nunca,1,0,1,3,0,0,0,4,0,0,1,3,0,1,0,0,14
208042777,De vez en cuando,Casi nunca,Casi nunca,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,Muy a menudo,De vez en cuando,Casi nunca,2,1,1,1,1,1,1,2,2,1,1,4,2,1,0,0,21
20gnbzdlkj,De vez en cuando,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,Muy a menudo,A menudo,De vez en cuando,Muy a menudo,Casi nunca,Casi nunca,Muy a menudo,A menudo,Casi nunca,2,2,2,0,1,0,1,2,0,3,1,4,1,1,0,0,20
2154snqwnc,A menudo,De vez en cuando,De vez en cuando,A menudo,Muy a menudo,A menudo,Muy a menudo,Casi nunca,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Nunca,3,2,2,1,0,1,0,1,0,2,2,2,1,0,0,0,17
21zcr2l3us,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,3,2,3,1,2,2,2,3,2,2,3,2,2,2,0,0,31
23o56gkxtv,Casi nunca,Casi nunca,Casi nunca,A menudo,A menudo,A menudo,Muy a menudo,Casi nunca,Muy a menudo,De vez en cuando,Nunca,De vez en cuando,A menudo,Casi nunca,1,1,1,1,1,1,0,1,0,2,0,2,1,1,0,0,13
23w4opw8wn,A menudo,Casi nunca,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,3,1,3,1,1,1,1,2,1,2,3,3,1,2,0,0,25
245wqhvg9s,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,2,3,3,2,2,2,2,3,2,2,2,3,2,2,0,0,32
260jvokmkh,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,2,2,2,1,2,2,1,2,2,2,2,2,2,2,0,0,26
26cy56uw3d,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,2,2,3,1,2,2,2,2,1,2,3,3,1,1,0,0,27
2eto4r98g4,De vez en cuando,Nunca,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,Casi nunca,A menudo,A menudo,Nunca,2,0,2,0,0,0,0,1,0,0,1,3,1,0,0,0,10
2fxz3pvysy,Nunca,Nunca,Nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,Muy a menudo,Nunca,A menudo,Muy a menudo,Nunca,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2g9ogyfagr,Casi nunca,Casi nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,1,1,2,1,2,1,2,2,1,2,1,2,2,1,0,0,21
2hs4zdhc8p,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,De vez en cuando,De vez en cuando,2,1,2,1,1,1,2,2,2,2,1,3,2,2,0,0,24
2p60yjvv8j,De vez en cuando,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Muy a menudo,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,2,0,2,2,2,1,2,1,0,1,1,3,1,1,0,0,19
2pg66yvsel,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,1,1,2,1,1,1,1,2,1,1,1,2,2,2,0,0,19
2q3h5sbkcc,A menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,Casi nunca,De vez en cuando,3,2,4,1,1,2,2,3,1,2,3,1,3,2,0,0,30
2r20dyckko,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,2,2,2,2,1,1,1,1,1,2,2,3,2,2,0,0,24
2tl9vpsf1f,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,4,4,4,0,0,2,0,4,0,2,4,4,2,2,0,0,32
2xkyenrbzh,Casi nunca,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,A menudo,Casi nunca,De vez en cuando,A menudo,Nunca,1,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,8
2ys72zmj4e,Muy a menudo,A menudo,Muy a menudo,Nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,A menudo,Casi nunca,Muy a menudo,A menudo,Nunca,4,3,4,4,3,0,0,4,0,1,1,4,1,0,0,0,29
2yz2onhcze,De vez en cuando,Casi nunca,A menudo,A menudo,A menudo,Muy a menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,2,1,3,1,1,0,1,3,1,2,2,1,2,1,0,0,21
30627573,De vez en cuando,De vez en cuando,A menudo,Casi nunca,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,2,2,3,3,2,1,2,2,2,2,2,2,2,2,0,0,29
307hpm5xa5,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,2,2,3,1,2,1,1,3,1,2,2,2,2,2,0,0,26
307j2gmw04,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,A menudo,Nunca,A menudo,Muy a menudo,Nunca,Muy a menudo,3,4,4,2,2,1,2,4,1,4,3,4,4,4,0,0,42
3212721014,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,1,1,2,2,2,2,1,0,1,2,1,2,2,1,0,0,20
32bxso8dzs,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,2,2,3,1,2,1,2,2,2,3,3,4,2,2,0,0,31
32v4soy9sj,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,A menudo,A menudo,Casi nunca,De vez en cuando,4,4,4,2,2,2,2,3,2,3,3,3,3,2,0,0,39
33tnugm0g9,Casi nunca,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,De vez en cuando,A menudo,Nunca,1,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,15
35j26vl9w3,Casi nunca,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,A menudo,A menudo,Casi nunca,Muy a menudo,A menudo,Casi nunca,Muy a menudo,De vez en cuando,Casi nunca,1,1,1,0,0,1,1,1,0,1,1,4,2,1,0,0,15
370azd2fr3,De vez en cuando,Nunca,Muy a menudo,De vez en cuando,A menudo,Muy a menudo,Muy a menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,Casi nunca,2,0,4,2,1,0,0,1,1,2,2,4,1,1,0,0,21
37vwcgwxjl,Casi nunca,Nunca,Casi nunca,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,Nunca,Muy a menudo,A menudo,Casi nunca,Casi nunca,A menudo,Nunca,1,0,1,0,3,0,0,0,0,1,1,1,1,0,0,0,9
38w2v9pbqb,A menudo,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,3,2,3,1,1,1,1,2,1,2,2,3,2,2,0,0,26
38yy9vh34o,Nunca,De vez en cuando,Casi nunca,De vez en cuando,A menudo,A menudo,A menudo,Casi nunca,A menudo,A menudo,Casi nunca,A menudo,A menudo,Nunca,0,2,1,2,1,1,1,1,1,1,1,3,1,0,0,0,16
39k1lsmzo9,Casi nunca,Casi nunca,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,1,1,1,0,0,0,0,1,0,0,1,3,2,1,0,0,11
3bqax9x6pp,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,A menudo,De vez en cuando,A menudo,A menudo,Nunca,De vez en cuando,3,2,3,2,2,3,3,2,1,2,3,3,4,2,0,0,35
3dwxo4ek8z,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,Muy a menudo,Muy a menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,A menudo,A menudo,Casi nunca,1,1,2,2,0,0,1,1,1,2,1,3,1,1,0,0,17
3eslm14chc,Muy a menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Muy a menudo,A menudo,De vez en cuando,Casi nunca,4,2,3,2,2,2,2,3,2,3,4,3,2,1,0,0,35
3fq6nf6bwz,Nunca,Nunca,Muy a menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,De vez en cuando,A menudo,Nunca,0,0,4,1,1,1,1,2,2,1,1,2,1,0,0,0,17
3g07zjcf8w,Casi nunca,De vez en cuando,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,Casi nunca,A menudo,A menudo,De vez en cuando,Casi nunca,1,2,2,0,1,1,2,3,1,3,3,3,2,1,0,0,25
3mmj9860tp,De vez en cuando,Casi nunca,Muy a menudo,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Muy a menudo,Casi nunca,De vez en cuando,2,1,4,2,1,1,1,3,1,2,3,4,3,2,0,0,30
3oos01o77d,Casi nunca,Casi nunca,Casi nunca,A menudo,Muy a menudo,A menudo,Muy a menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,1,1,1,1,0,1,0,3,1,2,2,2,1,1,0,0,17
3q4xlbxfqm,Casi nunca,Casi nunca,Muy a menudo,A menudo,A menudo,A menudo,De vez en cuando,Casi nunca,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,1,1,4,1,1,1,2,1,1,1,2,2,1,2,0,0,21
3uuhjuhvx7,Muy a menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,De vez en cuando,De vez en cuando,Muy a menudo,De vez en cuando,Casi nunca,Casi nunca,Muy a menudo,Casi nunca,A menudo,4,3,4,1,0,2,2,4,2,3,1,4,3,3,0,0,36
3va8adj854,A menudo,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Casi nunca,Muy a menudo,De vez en cuando,Casi nunca,3,1,3,2,2,1,2,2,1,2,1,4,2,1,0,0,27
3wctuj3c5l,Casi nunca,Casi nunca,A menudo,A menudo,A menudo,Muy a menudo,A menudo,De vez en cuando,A menudo,Casi nunca,Casi nunca,Muy a menudo,A menudo,Nunca,1,1,3,1,1,0,1,2,1,3,1,4,1,0,0,0,20
3zdt3bh6qx,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Muy a menudo,De vez en cuando,A menudo,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,De vez en cuando,2,2,3,1,1,1,0,2,1,0,2,4,1,2,0,0,22
42rtgjv3d5,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,A menudo,Casi nunca,1,2,2,1,1,1,2,2,1,2,2,2,1,1,0,0,21
440dgr2s32,Casi nunca,Casi nunca,Muy a menudo,A menudo,A menudo,A menudo,De vez en cuando,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,Muy a menudo,De vez en cuando,A menudo,1,1,4,1,1,1,2,2,1,2,4,4,2,3,0,0,29
46lzkwh057,A menudo,Muy a menudo,Muy a menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,A menudo,3,4,4,2,2,1,3,2,3,2,4,4,3,3,0,0,40
