id,AIM_TramoIngreso_DIRd,AIM_DIRt,EAR_DIRt,PSS_DIRt,SASS_DIRt,SCSORF_DIRt
23o56gkxtv,6,c1a,34,13,48,23
23w4opw8wn,5,c1a,30,25,45,33
245wqhvg9s,5,c1b,27,32,41,23
25d311c8ky,6,c1a,NA,NA,NA,27
260jvokmkh,5,c1a,37,26,49,28
26cy56uw3d,6,c1a,35,27,40,10
2eto4r98g4,7,ab,33,10,46,25
2fxz3pvysy,7,ab,28,3,49,10
2g9ogyfagr,6,c1a,35,21,40,19
2hs4zdhc8p,5,c2,28,24,38,37
2jys5okyrz,2,d,NA,NA,NA,NA
2k36w1k6s3,4,c2,NA,NA,NA,10
2p60yjvv8j,5,c1b,38,19,47,31
2pg66yvsel,6,c1a,32,19,41,19
2q3h5sbkcc,5,c1b,28,30,33,10
2r20dyckko,7,ab,34,24,48,28
2tl9vpsf1f,7,ab,28,32,48,10
2v8odmsrgb,5,c1b,NA,NA,NA,16
2xkyenrbzh,6,c1a,34,8,51,17
2ys72zmj4e,6,c1b,36,29,46,32
2yz2onhcze,3,c3,31,21,44,14
30627573,2,d,29,29,40,27
307hpm5xa5,7,ab,36,26,51,29
307j2gmw04,2,d,36,42,34,12
31ow2qxub2,7,ab,NA,NA,NA,NA
3212721014,7,ab,33,20,43,20
32bxso8dzs,4,c3,28,31,45,14
32v4soy9sj,5,c1b,24,39,40,37
33tnugm0g9,6,c1a,29,15,43,16
35j26vl9w3,6,c1a,39,15,53,10
370azd2fr3,6,c1a,33,21,46,10
37vwcgwxjl,6,c1a,39,9,47,37
38w2v9pbqb,5,c1a,31,26,47,23
38yy9vh34o,5,c1a,36,16,54,18
39k1lsmzo9,6,c1a,38,11,50,22
3bqax9x6pp,6,c1a,20,35,34,12
3dwxo4ek8z,5,c1a,36,17,51,29
3eslm14chc,7,c1a,23,35,49,10
3fq6nf6bwz,5,c1a,30,17,39,11
3g07zjcf8w,7,ab,35,25,60,26
3mmj9860tp,6,c1a,28,30,48,22
3oos01o77d,3,c3,36,17,50,20
3q4xlbxfqm,5,c1a,34,21,45,23
3uuhjuhvx7,1,d,25,36,36,17
3va8adj854,1,e,25,27,49,29
3wctuj3c5l,7,ab,38,20,49,28
3zdt3bh6qx,6,c1a,30,22,45,27
42rtgjv3d5,6,c1b,31,21,43,20
43bvgxa85z,5,c1a,NA,NA,NA,NA
440dgr2s32,4,c1b,31,29,46,19
46lzkwh057,3,c2,19,40,26,10
48d0zwqrrz,6,c1a,37,14,49,19
49t8wtq8vq,6,c1a,39,11,51,26
4bbc9tyubj,99,NA,27,37,40,10
4co0gk5xv1,5,c1a,36,NA,39,13
4erkm6ghx5,6,c1a,34,27,34,38
4ffwfstz9n,4,c2,27,36,38,21
4o8jzv6j6e,6,c1b,NA,NA,NA,22
4o8k81tjnm,7,ab,39,11,50,21
4qqpa1z4ok,3,c3,32,30,43,29
4tangf5m2x,7,ab,35,18,50,22
4vc2mzdc4w,6,c1b,36,22,49,13
4y80ydll2f,7,ab,34,22,36,19
4ygdug14fo,6,c1a,20,NA,30,20
51hljkccpr,7,ab,40,11,57,10
52sdo4ywuc,4,c1b,30,21,51,20
52xf1jf34a,7,ab,30,20,45,40
53hu4vj55h,3,c3,35,NA,NA,21
5522565184,2,c3,NA,NA,NA,17
55chz3kw8e,6,c1a,29,22,48,33
566zwesa4u,4,c2,38,13,53,16
56v5wy3mg5,7,ab,NA,NA,NA,NA
57sfa6s28l,5,c2,28,25,39,21
58g65e3v8f,7,ab,40,1,56,22
59623043,1,e,21,33,36,20
59u2aq01p4,7,ab,31,17,50,30
5dq4cq8cb9,5,c1b,39,31,49,32
5gxf48qa2o,6,c1a,34,NA,36,31
5lhjf3f5pf,4,c2,28,26,38,10
5mdboqub11,4,c1b,33,22,48,22
5mmjpwp6p4,7,c1a,38,22,50,10
5pxewmyh54,7,ab,37,21,39,16
5qu3gam1mn,7,ab,33,21,48,27
5rxe1wy6bk,6,c1a,29,34,44,16
5s4c08b3ze,4,c1b,16,39,33,23
5s9fd2uwmb,7,ab,39,20,48,28
5sul0uzgnz,5,c1b,33,18,47,25
5te70nks2d,7,ab,34,23,46,32
5waf6pr99j,6,c1a,29,34,39,18
5ysz1t80sp,2,d,26,38,38,13
5zqneztnb5,4,c1b,35,17,48,20
613aatfzyq,7,ab,39,NA,NA,10
649wwbc46k,5,c1b,34,20,36,20
650415rgao,7,c1a,32,16,47,10
65rmkpqenl,5,c2,37,27,50,18
664pp6q41o,6,c1b,28,20,44,20
68041813,1,e,26,26,36,23
6bz6uag4dk,5,c2,36,21,45,15
6ckerhy17c,7,c1a,35,11,53,10
6dn3lk6muo,4,c1b,27,30,44,22
6eaebmhr54,6,c1a,39,31,53,27
6eopr7l79z,4,c1b,32,NA,NA,29
6fds5u6mcv,6,c1a,28,21,46,20
6fgblhs912,6,c1a,34,24,46,26
6l3wnmfvn0,4,c1b,34,14,50,31
6mv37bdu85,4,c3,35,21,44,37
6oqllls9nm,3,c3,27,22,40,15
6pktko39ex,3,c3,27,26,41,10
6q7xzvtd35,6,c1a,38,20,45,10
6swtupt5xr,7,c1b,26,23,42,18
6usbzwa17h,6,c1a,33,20,50,37
6yon59jyyh,3,c3,28,28,34,30
6zdtz6b3wm,4,c1b,26,NA,41,10
6zq4shfhao,2,d,31,14,39,23
71xg31qmpf,4,c1b,28,28,43,25
726m18mmnu,6,c1a,25,28,41,21
73516375,5,c1a,34,17,48,21
73nrnhlkpe,7,ab,NA,NA,NA,10
7523bteq4w,7,ab,33,18,42,38
754nqmadud,4,c2,29,33,30,18
75vr3y2we9,5,c1b,28,28,43,15
7chnd7jqpy,6,c1b,25,NA,NA,30
7eswr199y7,99,NA,23,42,39,10
7lxvs7tjhy,99,NA,24,13,44,26
7md4q0jsp3,7,ab,37,15,49,10
7meuscuc92,7,ab,33,19,48,10
7nq0yu29gg,3,c3,28,27,38,13
7q5x5pm8cj,6,c1a,22,30,35,19
7q9r270w7b,6,c1a,29,17,52,34
7rwt3yrohk,6,c1a,34,22,48,30
7u7sa47h79,4,c1b,32,19,46,26
7xp8htlnlx,6,c1a,31,41,39,20
7xw0g7kx2n,4,c1b,33,24,46,18
7zqhmbexsk,7,c1a,40,10,57,10
81qcpq62fd,2,d,27,25,42,10
833fah8xk5,7,ab,33,NA,50,31
83acj2utfl,6,c1a,31,20,47,22
83dgzovsus,7,ab,27,23,46,20
83ytp1f6wd,5,c1a,26,29,38,19
85fqm1znj1,3,c3,27,36,40,29
86y9s7s027,7,ab,33,28,45,19
89065193,4,c1b,34,11,51,20
89526622,6,c1a,40,9,53,10
8a05r77m9u,5,c1a,37,15,51,23
8hd6p9ax28,6,c1a,30,21,39,22
8hegp48hkm,6,c1a,27,35,46,11
8k1qy6g51n,5,c1b,NA,NA,NA,NA
8mjj2bwd8k,6,c1a,26,12,51,10
8np49osca4,5,c1b,26,23,44,32
8ol8znu6qw,5,c1b,35,34,44,10
8omb146lzs,4,c1b,30,34,37,10
8pf6wfvkm1,7,ab,38,23,59,39
8pncv8zjbz,6,c1a,39,28,47,28
8tn5owhhbj,5,c1a,26,35,53,10
8waltnxhre,6,c1a,27,27,48,25
8xxhehcpgo,6,c1a,34,11,47,19
8xzhgc5qhz,4,c1b,28,36,33,18
8yhxs4w7er,5,c1a,31,20,48,27
90huy2se2z,4,c2,NA,NA,NA,NA
90onvsazyg,3,c2,22,39,34,10
911111111,5,c1a,29,32,35,27
912345678,7,ab,40,18,42,40
91613582,6,c1a,32,19,34,19
920505277,1,e,23,32,33,19
923772300,6,c1a,33,NA,52,30
92607712,99,NA,NA,NA,NA,24
92s1ufy5s9,3,c3,31,36,36,24
930187310,1,e,23,28,42,27
930681196,2,d,30,26,48,37
931041051,3,c2,30,NA,46,28
931138782,3,c3,35,17,55,40
931369027,4,c2,36,14,49,10
931709064,5,c1a,38,15,50,13
932485581,2,d,26,21,46,31
933267900,1,e,NA,NA,NA,NA
933801354,3,c3,34,34,40,17
934138174,4,c2,30,NA,46,22
934447513,5,c1a,33,20,46,27
936673467,1,d,34,20,50,29
936717051,7,ab,29,26,41,13
936834132,6,c1a,25,15,46,20
936950038,3,c3,33,27,43,29
937231192,1,e,32,32,38,25
937753246,6,c1a,35,15,46,21
938781309,3,c2,29,21,37,10
938913641,4,c2,30,23,44,20
940114627,6,c1a,25,35,40,13
940280467,3,c3,21,42,45,13
940808101,6,c1a,27,32,33,10
940824179,1,e,28,14,39,24
940830266,7,ab,35,21,45,28
940920568,3,d,27,32,44,39
940963228,3,d,19,32,37,19
94115946,4,c1b,38,20,55,33
942067073,5,c1b,29,38,44,10
942497048,6,c1b,19,20,38,13
942616164,7,ab,34,36,44,37
942891061,6,c1b,26,35,43,12
942948277,7,ab,27,29,50,10
942999087,4,c3,14,45,27,28
944094937,4,c1b,27,35,34,13
946534499,5,c2,37,29,48,20
946735775,2,d,30,31,39,26
946815635,2,d,27,21,35,28
946952947,6,c1b,17,36,30,29
947373330,3,d,25,20,46,36
948867510,4,c2,35,23,45,18
949119297,5,c1a,20,42,44,26
950123866,6,c1b,38,12,41,10
950198642,99,NA,32,32,40,10
950884729,1,e,31,18,47,23
951112410,7,ab,32,11,46,14
951328633,4,c2,31,16,48,37
952042912,1,e,26,32,42,21
953003813,1,e,35,27,42,24
953293006,4,c3,31,19,34,32
953337349,6,c1a,28,19,47,10
953708161,6,c1b,35,6,43,10
953907498,5,c1a,38,36,41,18
954003982,6,c2,32,26,41,17
954023728,1,e,36,23,45,30
954073071,6,c1a,36,17,41,19
954112980,6,c1a,40,18,52,31
954117943,6,c1b,27,24,42,36
954118466,4,c2,32,21,47,14
954219968,4,c2,26,34,44,18
954238473,6,c1a,35,20,44,37
956354886,7,ab,23,45,35,14
956694114,5,c2,33,NA,33,18
956694633,7,ab,35,16,49,12
956894391,5,c1b,30,29,47,10
957396862,5,c2,31,23,47,22
957640409,5,c1b,36,18,42,22
957716103,4,c3,31,NA,52,16
957732384,3,c3,31,41,40,15
957895469,6,c1a,29,18,49,10
958188977,4,c1b,24,27,47,31
958280081,2,d,30,29,43,21
958529246,2,d,20,37,40,19
958597136,3,c3,18,43,29,16
958633132,3,c3,39,21,45,15
958931553,3,c3,28,28,37,10
959007353,3,c3,23,36,39,12
959582656,5,c1a,32,21,40,31
959735020,2,d,30,32,32,29
959890664,2,d,27,29,34,25
961066479,4,c1b,28,39,34,29
961367628,1,e,17,31,27,11
961399368,6,c1a,34,26,46,23
961556598,7,ab,37,24,48,27
961857682,1,e,22,27,42,28
962075853,6,c1a,22,NA,42,11
962091361,5,c1b,40,13,50,10
962199318,2,d,19,34,36,15
9621v1e1yb,5,c1a,NA,NA,NA,NA
962251989,6,c1a,31,21,41,12
962353559,7,ab,38,17,47,25
962685946,2,c3,21,32,38,20
963005044,6,c1a,37,NA,51,38
963014846,6,c1a,29,20,48,27
963066829,6,c1a,35,6,47,25
963108434,4,c2,28,26,40,15
963189418,3,c3,32,32,56,23
963264611,1,e,26,27,44,40
963337862,6,c1a,32,24,48,24
963733527,3,c3,40,21,52,34
964310185,4,c3,34,27,50,10
964496134,7,ab,24,29,43,11
964979193,6,c1a,29,16,47,22
965155738,5,c1a,30,31,47,20
965289303,3,c2,24,37,37,10
965315469,2,d,34,23,48,23
965472365,2,d,23,34,39,25
965637951,4,c1b,36,16,48,10
965706196,6,c1a,37,19,46,10
965733370,6,c1b,27,45,32,22
965775003,99,NA,22,34,37,22
965936930,5,c1b,23,NA,28,15
965951483,6,c1a,37,15,48,27
966060611,5,c2,29,20,42,30
966171814,7,ab,35,21,41,10
966192709,4,c1b,38,17,36,13
966249306,4,c1b,37,22,46,12
966386225,99,NA,29,34,47,22
966532619,7,ab,35,22,39,13
966611630,7,c1a,36,13,47,23
966667779,6,c1a,31,21,45,20
966684403,7,c1b,25,33,44,10
966721610,5,c1a,25,13,45,40
966786111,2,d,34,15,47,10
966874272,99,NA,31,NA,NA,20
966885479,2,d,31,17,50,29
966999580,7,ab,38,18,46,14
967283891,5,c1b,36,10,47,10
967665449,5,c1a,30,29,47,25
967766396,4,c2,36,20,45,20
968051734,6,c1a,33,18,32,10
968072498,6,c1a,33,NA,46,10
968119664,5,c1a,32,30,44,28
968305578,3,c3,NA,NA,NA,NA
968421188,3,c2,23,32,35,10
968459984,7,ab,36,20,47,19
969199723,99,NA,33,14,48,27
96a68p4kqg,6,c1a,37,42,44,20
96beuwymn8,5,c1a,29,28,38,28
96f2f0fpol,5,c2,31,22,39,22
971085234,3,c2,26,25,37,18
971085541,5,c1a,27,30,43,13
971369288,99,NA,31,32,57,37
971448209,5,c1b,26,28,42,19
972089420,1,e,36,23,43,29
972116430,99,NA,24,33,36,23
972461403,2,d,30,23,43,27
972739967,1,e,25,32,31,29
972797829,3,c3,22,32,34,24
972833496,3,c3,23,37,35,27
972952734,99,NA,32,23,52,28
973348154,2,d,35,NA,42,11
973390448,6,c1a,NA,NA,NA,11
973397482,6,c1b,36,20,43,36
973487560,5,c1a,35,15,52,10
973658872,5,c1a,25,34,44,26
973877425,6,c1a,36,21,49,14
973887671,3,c2,36,20,56,25
973968807,3,c3,36,19,50,28
974034193,4,c1b,21,42,31,12
974119745,4,c2,25,26,32,23
974503771,1,e,34,17,43,21
974532806,7,c1a,25,33,41,20
974567480,99,NA,22,55,35,32
974831797,6,c1a,29,17,43,36
974992656,5,c1a,34,23,47,10
975144277,3,c3,27,31,42,25
975195329,4,c1b,18,42,39,21
975256769,3,c3,31,29,50,18
975484098,6,c1a,30,22,41,19
975493625,7,ab,30,27,41,20
975506696,2,c3,20,18,26,21
975654226,1,e,25,33,34,28
976081379,7,c1a,38,21,50,30
976144260,3,c2,20,45,26,16
976171014,6,c1a,28,32,43,25
976182883,7,ab,39,24,52,15
976236863,6,c1a,34,27,48,12
976245978,6,c1a,29,24,40,26
976495225,6,c1a,34,23,43,25
976495720,4,c1b,25,38,33,10
976580311,1,d,NA,NA,NA,NA
976605973,5,c1b,32,19,46,19
976676417,3,c3,30,21,34,28
976722475,4,c3,33,20,43,29
976938530,2,d,25,30,21,27
977018121,7,ab,33,NA,49,29
977025600,4,c3,12,45,24,13
977087119,7,ab,32,28,45,10
977127298,6,c1a,31,27,45,10
977401283,1,e,29,28,49,28
977459453,99,NA,28,34,42,10
977646231,6,c1a,34,20,53,25
977658105,3,c2,NA,NA,NA,30
977676965,6,c1a,22,29,33,21
977696575,5,c1a,33,18,44,32
977958040,6,c1a,31,16,46,18
978009184,6,c1a,26,17,35,10
978090680,7,ab,34,20,41,27
978278881,4,c2,27,NA,NA,10
978408990,2,e,31,27,40,20
978649443,6,c1b,28,25,40,30
978716998,6,c1a,24,34,38,23
978770166,7,ab,35,16,46,16
978778707,7,ab,19,40,31,12
978796499,5,c1a,37,20,48,10
978901726,5,c1a,34,NA,NA,16
979555498,6,c1a,23,31,39,11
979597551,5,c1a,36,16,43,21
979657428,5,c1b,30,23,40,18
979661700,99,NA,28,26,37,11
979665723,7,ab,26,23,48,10
979666528,7,ab,33,19,48,18
979772716,7,ab,37,12,52,10
979875126,4,c2,20,26,39,21
981253621,4,c3,32,22,46,29
981400158,1,e,30,24,39,29
981766398,5,c1a,34,15,40,15
981987221,6,c1a,27,27,44,11
982183335,1,e,25,24,35,20
982270075,7,ab,40,15,52,34
982279036,6,c1a,36,7,53,31
982510850,6,c1a,31,26,44,15
982642174,5,c1a,17,37,18,21
982808635,5,c1a,36,24,42,27
982896804,6,c1a,27,14,52,40
982944737,6,c1a,NA,NA,NA,10
982960702,4,c1b,28,25,39,34
982990259,7,ab,31,32,42,19
983159870,7,ab,40,11,49,28
983225150,4,c2,34,20,46,11
983295453,4,c2,27,24,44,29
983399462,5,c1b,30,30,42,25
983510051,2,d,32,13,45,15
98375947,4,c2,17,35,37,10
984001541,4,c3,28,24,41,27
984009266,2,d,27,30,38,29
98402425,2,d,23,28,39,21
984054206,5,c2,27,20,43,20
984128897,3,c2,34,20,53,40
984137712,5,c1a,38,10,48,30
984186352,99,NA,27,29,38,20
984245385,3,c3,37,26,49,20
984347322,3,c3,26,27,41,26
984392357,6,c1a,37,10,51,19
984399547,7,ab,20,41,41,10
984446210,2,d,30,19,40,11
984697431,5,c1a,35,20,53,25
984773120,2,d,27,35,30,15
984799147,1,e,28,24,38,24
984813596,1,e,28,20,45,25
984819192,1,e,17,32,22,22
984839717,4,c2,35,14,52,31
984879731,6,c1a,39,15,52,20
985016647,5,c1a,36,26,45,20
985051874,6,c1a,33,18,42,15
985274725,6,c1a,20,40,49,10
985295688,3,c2,31,23,46,20
985481418,4,c1b,31,29,41,20
985487534,99,NA,20,31,46,17
985721992,5,c1b,30,25,51,20
986216476,1,d,27,26,41,23
986407230,7,ab,29,14,48,29
986466143,2,c3,29,31,38,12
986799596,4,c2,14,31,36,16
986846292,5,c1a,31,18,48,27
986868112,2,d,27,31,29,30
987222143,7,ab,39,21,51,10
987304721,4,c1b,27,23,39,13
987308145,6,c1b,37,20,49,22
987369880,7,ab,37,24,54,10
987750595,5,c1b,30,23,40,24
988110184,7,ab,35,23,42,10
988181447,7,ab,NA,NA,NA,NA
988278630,6,c1a,28,36,42,26
988291419,7,ab,38,22,44,16
988340281,6,c1a,28,19,43,18
988385245,5,c1a,30,17,46,12
988443534,1,e,30,20,47,20
988563124,6,c1a,36,28,41,26
98858425,6,c1a,35,19,50,35
989009126,5,c1a,26,22,47,33
989032399,6,c1a,39,17,41,24
989041477,7,c1a,NA,NA,NA,NA
989203428,3,c3,22,39,39,20
989207190,6,c1a,37,15,48,16
989296613,6,c1b,26,40,31,28
98efkex461,7,ab,40,12,54,36
990748443,5,c1b,29,32,41,30
990913022,3,c3,39,19,45,12
991287501,7,ab,32,24,46,23
991297732,6,c1a,28,23,44,15
991305020,3,c3,21,34,39,37
991312098,6,c1a,32,24,38,20
991353937,3,c3,22,37,41,27
991589559,99,NA,27,42,36,27
991613582,6,c1a,34,NA,35,18
991717406,99,NA,22,32,36,10
991803002,5,c2,36,27,40,12
992187944,4,c2,37,12,48,11
992196864,6,c1a,30,16,51,20
992225039,99,NA,33,28,44,24
992241439,7,ab,30,23,48,17
992299063,7,ab,39,3,49,28
992392476,5,c1a,31,27,54,27
992400304,5,c1b,37,9,48,10
992401047,6,c1a,37,17,45,33
992403256,7,c1a,34,11,53,25
992500419,4,c3,27,32,34,10
992847965,7,ab,30,31,37,25
993092332,6,c1a,39,5,55,29
993096569,5,c1a,24,41,33,10
993192605,6,c1a,29,17,48,23
993253171,7,ab,39,20,43,21
993348065,5,c1a,35,9,41,25
993395218,3,c3,29,31,37,24
993418649,99,NA,15,47,25,13
993424376,1,e,29,27,40,22
993456343,7,ab,26,25,40,20
994081964,6,c1a,26,36,34,10
994668378,1,d,25,32,36,31
994737019,1,e,28,21,37,20
994998546,1,e,27,31,36,25
995029977,4,c2,25,30,40,14
995073977,3,c3,31,25,46,30
995190027,6,c1a,31,19,42,26
995534736,7,c1b,24,28,42,10
995556628,5,c2,32,15,47,20
996092646,7,ab,35,9,50,16
996369540,5,c1a,21,27,40,12
996426677,4,c2,39,21,51,22
996633848,5,c2,NA,NA,NA,NA
996737561,5,c1a,39,7,51,31
997070802,4,c2,28,29,45,14
997121749,7,ab,27,29,48,11
997175441,4,c1b,NA,NA,NA,NA
997364441,6,c1b,34,19,45,12
997412540,99,NA,35,15,50,39
997421325,7,ab,34,22,43,20
997451724,4,c2,31,19,44,18
997498873,3,c2,37,24,49,15
997737916,4,c2,29,26,42,30
997759035,2,d,27,24,40,20
997hakkpga,5,c1a,33,21,43,32
998143054,6,c1a,38,12,43,19
998229820,7,ab,31,22,52,27
998368437,4,c1b,39,24,46,10
998376022,6,c1a,29,23,47,28
998414304,6,c1a,32,26,45,32
998461790,7,ab,38,15,48,18
998779470,2,d,25,32,34,35
998854316,6,c1a,28,26,42,18
998858545,2,d,40,NA,44,29
998875012,6,c1a,35,7,50,27
999093093,6,c1a,28,40,41,16
999188335,7,ab,38,25,50,31
999361778,4,c3,30,30,33,21
999407649,2,e,38,15,45,28
999540975,7,ab,36,19,46,16
999732875,7,ab,28,20,53,20
999919100,7,c1a,26,28,52,34
999920027,7,ab,22,32,38,14
9aux5878qw,5,c1a,35,25,42,10
9e42sk7uwx,6,c1a,38,11,54,10
9fazm15vce,99,NA,36,20,44,18
9fzejerrgn,5,c1a,37,33,46,13
9jn6juf41p,6,c1a,29,25,41,25
9m58os2md1,7,ab,30,21,49,22
9nwcoby1v9,3,c3,30,35,39,24
9oc1ekzpb4,5,c1a,30,17,44,28
9t1plqtqau,5,c1b,27,31,45,10
9trmee5xbp,7,ab,34,16,52,13
9veptk9vgf,5,c1b,31,29,44,26
a3hyn2c33g,3,c2,15,33,35,10
a7gqlr06rl,6,c1a,28,34,37,25
alb7auth21,1,c3,22,39,35,10
amm7bj9jry,3,c3,31,34,37,10
any34zornc,7,ab,29,37,33,20
aomxurnjy4,6,c1a,29,29,37,25
aoufqyh9re,6,c1a,23,36,44,19
arh0u2f1wl,6,c1a,32,21,45,12
aux5emxvcs,4,c2,34,21,36,14
aw2zmg3nud,6,c1b,27,28,40,22
awlgk55auv,5,c1a,21,34,32,14
awq3csm79d,6,c1a,28,21,46,11
azn2c07hqo,5,c1b,35,19,45,10
b0cr4kujz4,5,c1a,31,28,36,18
b47uht5yx2,6,c1a,37,34,35,23
b5aucdrp3d,3,c3,27,40,39,30
bbb7blvy7n,4,c1b,19,41,44,23
bbg642lt7n,6,c1a,27,29,43,36
bdo0gv3oh0,7,c1a,NA,NA,NA,10
bdqz4o49f5,6,c1a,38,25,44,10
bdyx9509mj,7,ab,25,31,44,23
bk36nuv0wt,6,c1a,30,26,47,10
bl23a37lc5,5,c1a,27,27,33,25
blsfhggtdy,5,c1b,37,21,37,10
bqt4a3fr76,6,c1a,23,35,44,10
brnqmmla7g,6,c1a,NA,NA,NA,11
bxrn095nmg,7,ab,28,26,46,26
bygj9se2vr,6,c1a,34,28,50,10
c1q76x34l3,6,c1a,30,17,43,30
c4ht5lrajg,5,c1a,27,33,42,33
c5r7segqpk,4,c2,31,37,29,10
c8f3xbppht,7,c1b,31,29,48,21
c8g9jszal0,7,ab,35,20,48,15
c8hu5bsh4e,6,c1a,30,21,42,19
cfkly9zxv2,6,c1a,39,16,41,10
cg1eldphlr,4,c2,23,37,40,26
cggroeg4sr,7,ab,34,NA,50,11
cj5ejfvtb3,4,c2,28,30,42,36
cjjbo78l0u,5,c1a,22,35,37,36
cn589l7pn4,7,ab,31,20,51,14
cq1xv602w1,6,c1a,24,NA,42,30
cr0j272mz4,5,c1a,32,33,30,22
cu389mbfxe,5,c1a,38,7,53,12
cv962bvx5t,4,c1b,40,12,51,23
d1wdaer3c5,6,c1a,21,18,43,25
d24o1c3w7n,6,c1a,31,22,34,13
d2s2l3na16,6,c1a,33,15,47,28
d5w1gpjg45,4,c3,30,36,46,24
d91h22qysr,6,c1a,33,8,55,10
da1u0gy74y,7,ab,40,9,57,39
dc51vr8zat,4,c2,31,26,42,25
dcldsab5fd,5,c1b,27,21,46,10
ddaztuhj5z,6,c1a,35,20,43,28
ddc8f21j3k,3,c3,20,36,25,26
dezmr6fn3c,7,ab,32,31,44,17
dfdftb1qqa,6,c1a,26,34,34,35
dfy45dn269,7,ab,32,30,45,37
do5s3zc8zc,99,NA,33,35,41,25
dr9o0bvodp,6,c1a,32,27,45,13
drjbxfnocl,4,c2,35,23,48,17
dtz8zvtz46,5,c1b,38,30,46,27
duzqp3a9ce,5,c1a,33,20,43,10
dxl2qu337x,6,c1a,35,29,47,26
dxyz7l2sm1,5,c1a,27,24,34,16
dyr18o9tsw,7,ab,31,25,43,12
dzm6b2xp00,5,c1a,32,25,46,31
e55neqglsc,4,c2,30,19,39,32
e64tas80wc,7,ab,32,40,37,23
e7v5humdxt,5,c1a,31,12,52,17
e9bpshnfkr,7,ab,27,NA,46,11
e9g17x0rda,5,c1a,27,36,51,22
edah4wd5e0,5,c1b,21,28,34,13
efxsnhgqke,6,c1b,29,28,42,31
egpkkkowxr,5,c2,26,39,39,10
ekcbq410f5,3,d,35,31,38,13
ekkt4jpyh2,4,c1b,34,8,38,26
ekwrvg5dlk,5,c1a,40,21,48,10
elg88j2y6c,7,c1a,21,35,50,26
eoy5mk1v9g,7,ab,39,21,47,23
epe9h57e37,6,c1b,24,38,42,19
epj9byy11m,3,c2,29,26,43,29
er0fmd1z87,1,e,34,23,42,22
er60kdpzvh,4,c2,34,10,37,10
esbk3akxrz,2,d,27,30,42,24
eu5eklt5sn,6,c1a,NA,NA,NA,NA
evcd8au9dx,6,c1b,36,12,54,10
evkf6wk7j5,5,c1a,36,21,43,11
exve2v5wr4,4,c1b,27,31,43,20
eyj2f1mq0e,3,d,29,13,41,23
ezuh0cps1f,7,ab,30,33,46,18
f16uycggmv,5,c1a,30,29,39,28
f3pydvoql0,6,c1a,NA,NA,NA,15
f4b5u91mw4,6,c1a,33,19,48,28
f4o5ab6vlz,4,c1b,28,NA,NA,24
f5gym35phu,7,ab,37,11,49,31
