id,SCSORF_01_RAW,SCSORF_02_RAW,SCSORF_03_RAW,SCSORF_04_RAW,SCSORF_05_RAW,SCSORF_06_RAW,SCSORF_07_RAW,SCSORF_08_RAW,SCSORF_09_RAW,SCSORF_10_RAW,SCSORF_01_DIR,SCSORF_02_DIR,SCSORF_03_DIR,SCSORF_04_DIR,SCSORF_05_DIR,SCSORF_06_DIR,SCSORF_07_DIR,SCSORF_08_DIR,SCSORF_09_DIR,SCSORF_10_DIR,SCSORF_RAW_NA,SCSORF_DIR_NA,SCSORF_DIRt
0azsjnjv8h,De acuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,En desacuerdo,3,1,4,3,1,4,4,4,4,2,0,0,30
0e57w4jo5l,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,3,3,3,3,3,3,4,4,4,4,0,0,34
0g4bzzufl5,Fuertemente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,4,3,2,3,3,3,3,3,2,2,0,0,28
0gp37ea8qk,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,4,4,4,4,4,4,4,4,4,4,0,0,40
0h5cls6t7u,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,2,1,1,1,1,2,1,1,1,1,0,0,12
0hmlz4cl4e,De acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,De acuerdo,3,3,4,4,3,3,4,3,3,3,0,0,33
0lnc7qx6fp,De acuerdo,En desacuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,2,3,4,3,4,4,3,2,2,0,0,30
0n2op4qlkl,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,2,2,1,1,1,1,1,1,0,0,12
0nde7p22d3,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,2,1,1,1,1,1,1,1,1,1,0,0,11
0o7nzb18js,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,2,1,1,1,1,1,2,1,2,2,0,0,14
0q858l7tbk,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,2,2,2,3,2,2,3,2,2,3,0,0,23
0rno3uzl0e,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,3,3,3,2,2,3,3,2,2,2,0,0,25
0ruvm5180t,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,2,2,3,3,2,3,3,2,2,3,0,0,25
0ugjce64oo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,3,2,2,2,2,3,3,2,2,2,0,0,23
0umgeoryw9,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,De acuerdo,Fuertemente en desacuerdo,4,4,4,4,4,4,3,3,3,1,0,0,34
0vaavp49xk,Fuertemente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,4,1,1,3,1,2,1,3,4,3,0,0,23
0w6ssflgwx,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,1,2,1,3,3,3,2,2,2,2,0,0,21
0xzmpra3r8,Fuertemente de acuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,4,1,4,4,3,4,4,4,3,4,0,0,35
0y5a1124sk,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,2,1,1,0,0,11
10tuv9y1t0,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Fuertemente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,2,3,2,3,1,2,3,3,2,3,0,0,24
12coelxoyj,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,3,2,2,3,2,3,3,3,3,2,0,0,26
14385229586,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
1524o39vgp,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,2,2,2,2,2,3,3,2,2,3,0,0,23
17ugds2jor,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,2,2,3,2,3,2,3,3,3,3,0,0,26
1dzba3pc63,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,3,2,3,3,3,3,3,3,3,2,0,0,28
1ga2040svz,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,2,2,2,2,2,3,3,3,1,1,0,0,21
1gcex58vx8,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
1hhe7yntyv,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,1,1,2,2,2,3,2,2,2,2,0,0,19
1hlrbn3y6q,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,2,2,2,3,2,3,3,2,2,2,0,0,23
1kjpr4ot26,Fuertemente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,4,3,3,3,3,3,3,3,3,4,0,0,32
1m9z8gvdsh,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,En desacuerdo,Fuertemente en desacuerdo,2,1,1,1,1,1,1,3,2,1,0,0,14
1n2lmcj5gy,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,3,2,3,3,3,3,3,3,3,3,0,0,29
1oyezntv2a,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,2,2,3,3,2,2,3,2,2,2,0,0,23
1qbzp3w53m,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,2,1,1,1,1,1,1,1,1,1,0,0,11
1sqqbqv2x2,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,3,2,3,3,3,3,3,2,2,1,0,0,25
1x4vwsfod5,En desacuerdo,En desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,En desacuerdo,Fuertemente de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,2,2,4,4,2,4,2,3,2,3,0,0,28
1x9db0w61z,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,En desacuerdo,Fuertemente de acuerdo,4,4,4,4,4,4,4,4,2,4,0,0,38
1xk2lhu5l7,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,2,1,2,2,2,2,2,3,2,2,0,0,20
1xve144yu5,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,4,4,4,4,4,4,4,4,4,3,0,0,39
1xwvchz9vj,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,3,2,2,3,3,3,3,2,2,0,0,26
1ymttk9xtv,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
1z6o9xoot7,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,4,4,4,4,4,4,4,4,4,4,0,0,40
208042777,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,3,2,3,3,3,3,2,3,3,3,0,0,28
20gnbzdlkj,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,2,1,1,0,0,11
211j73oyq4,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,3,2,3,3,3,3,3,3,3,3,0,0,29
2154snqwnc,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,4,3,4,4,4,4,4,4,3,3,0,0,37
21zcr2l3us,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,2,1,2,2,1,1,1,1,1,1,0,0,13
23o56gkxtv,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,2,2,2,2,1,3,2,3,3,3,0,0,23
23w4opw8wn,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,En desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,En desacuerdo,De acuerdo,4,3,4,4,2,4,4,3,2,3,0,0,33
245wqhvg9s,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,2,2,3,3,2,2,3,2,2,2,0,0,23
25d311c8ky,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,3,2,3,3,2,3,3,3,3,2,0,0,27
260jvokmkh,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,3,2,3,3,2,3,3,3,3,3,0,0,28
26cy56uw3d,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
2eto4r98g4,Fuertemente en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,1,2,3,3,2,3,3,3,2,3,0,0,25
2fxz3pvysy,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
2g9ogyfagr,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,1,1,1,2,1,2,2,3,3,3,0,0,19
2hs4zdhc8p,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,3,4,4,4,4,4,4,4,3,3,0,0,37
2k36w1k6s3,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
2p60yjvv8j,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,De acuerdo,3,3,3,3,3,3,4,3,3,3,0,0,31
2pg66yvsel,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,4,4,4,1,1,1,1,1,1,1,0,0,19
2q3h5sbkcc,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
2r20dyckko,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,3,3,3,3,2,3,3,3,2,3,0,0,28
2tl9vpsf1f,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
2v8odmsrgb,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,4,4,1,0,0,16
2xkyenrbzh,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,2,1,1,1,2,2,2,2,2,2,0,0,17
2ys72zmj4e,Fuertemente en desacuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,En desacuerdo,De acuerdo,De acuerdo,1,3,4,4,4,4,4,2,3,3,0,0,32
2yz2onhcze,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,1,1,2,1,1,1,1,2,2,2,0,0,14
30627573,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,3,3,3,2,3,3,3,2,2,0,0,27
307hpm5xa5,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,3,3,3,3,3,3,3,3,2,3,0,0,29
307j2gmw04,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,3,1,1,1,1,1,1,1,0,0,12
3212721014,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,2,2,2,2,2,2,2,2,2,2,0,0,20
32bxso8dzs,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,De acuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,3,3,1,0,0,14
32v4soy9sj,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,4,4,4,4,3,4,4,4,3,3,0,0,37
33tnugm0g9,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,4,4,1,1,1,1,1,1,1,1,0,0,16
35j26vl9w3,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
370azd2fr3,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
37vwcgwxjl,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,En desacuerdo,Fuertemente de acuerdo,4,4,4,4,4,4,4,3,2,4,0,0,37
38w2v9pbqb,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,2,2,2,2,2,2,4,3,2,2,0,0,23
38yy9vh34o,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,2,2,2,2,1,2,2,2,2,1,0,0,18
39k1lsmzo9,En desacuerdo,Fuertemente en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,2,1,3,3,2,3,1,2,2,3,0,0,22
3bqax9x6pp,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,De acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,3,1,1,0,0,12
3dwxo4ek8z,Fuertemente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,4,3,3,3,3,3,3,2,3,2,0,0,29
3eslm14chc,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,1,1,1,1,1,1,1,0,0,10
3fq6nf6bwz,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,1,1,1,2,1,1,1,1,1,1,0,0,11
3g07zjcf8w,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,3,2,3,2,3,3,3,2,2,0,0,26
3mmj9860tp,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,2,2,2,2,2,3,2,3,2,2,0,0,22
