id,AIM_01_RAW,AIM_02_RAW,AIM_03_RAW,AIM_04_RAW,AIM_05_RAW,AIM_06_RAW,AIM_07_RAW,AIM_08_RAW,AIM_09_RAW,AIM_10_RAW,AIM_01_DIR,AIM_02_DIR,AIM_03_DIR,AIM_04_DIR,AIM_05_DIR,AIM_06_DIR,AIM_07_DIR,AIM_08_DIR,AIM_09_DIR,AIM_10_DIR,AIM_RAW_NA,AIM_DIR_NA,AIM_TramoIngreso_DIRd,AIM_DIRt
0umgeoryw9,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,Más de 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,7,NA,NA,NA,NA,NA,6,6,7,ab
0vaavp49xk,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,337 mil – 586 mil,NA,NA,NA,NA,NA,9,8,2,NA,3,NA,NA,NA,NA,NA,6,6,3,c2
0w6ssflgwx,Universitaria incompleta (carreras de 4 o más años).,Empleados de oficina públicos y privados.,2,NA,587 mil – 1.023.000,NA,NA,NA,NA,NA,8,6,2,NA,4,NA,NA,NA,NA,NA,6,6,4,c2
0xzmpra3r8,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,10,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
0y5a1124sk,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,954 mil – 1.662.000,NA,NA,NA,10,8,4,NA,NA,NA,4,NA,NA,NA,6,6,4,c1b
10tuv9y1t0,"Postgrado (postítulo, master, magíster, doctor).",Empleados de oficina públicos y privados.,2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,10,6,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1b
12coelxoyj,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",1,1.100.000 – 1.916.000,NA,NA,NA,NA,NA,NA,10,8,1,6,NA,NA,NA,NA,NA,NA,6,6,6,c1a
14385229586,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",3,NA,NA,Más de 4.135.000,NA,NA,NA,NA,10,9,3,NA,NA,7,NA,NA,NA,NA,6,6,7,ab
1524o39vgp,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,9,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
17ugds2jor,Básica completa; primaria o preparatoria completa.,Trabajadores de los servicios y vendedores de comercio y mercados.,3,NA,NA,Menos de 257 mil,NA,NA,NA,NA,3,3,3,NA,NA,1,NA,NA,NA,NA,6,6,1,e
1dzba3pc63,Instituto técnico (CFT) o instituto profesional completo (carreras de 1 a 3 años); hasta suboficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",4,NA,NA,NA,1.663.000 – 2.899.000,NA,NA,NA,7,8,4,NA,NA,NA,5,NA,NA,NA,6,6,5,c1b
1ga2040svz,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,3.3980.000 – 5.912.000,NA,NA,10,9,5,NA,NA,NA,NA,6,NA,NA,6,6,6,c1a
1gcex58vx8,Instituto técnico (CFT) o instituto profesional completo (carreras de 1 a 3 años); hasta suboficial de FFAA y Carabineros.,Empleados de oficina públicos y privados.,4,NA,NA,NA,314 mil – 546 mil,NA,NA,NA,7,6,4,NA,NA,NA,2,NA,NA,NA,6,6,2,d
1hhe7yntyv,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Otros grupos no identificados (incluye rentistas, personas en situación de discapacidad, etc.)",2,NA,587 mil – 1.023.000,NA,NA,NA,NA,NA,9,10,2,NA,4,NA,NA,NA,NA,NA,6,6,4,c2
1hlrbn3y6q,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Empleados de oficina públicos y privados.,4,NA,NA,NA,1.663.000 – 2.899.000,NA,NA,NA,9,6,4,NA,NA,NA,5,NA,NA,NA,6,6,5,c1b
1kjpr4ot26,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",2,NA,587 mil – 1.023.000,NA,NA,NA,NA,NA,10,8,2,NA,4,NA,NA,NA,NA,NA,6,6,4,c1b
1m9z8gvdsh,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Empleados de oficina públicos y privados.,4,NA,NA,NA,NS/NR,NA,NA,NA,9,6,4,NA,NA,NA,99,NA,NA,NA,6,6,99,NA
1n2lmcj5gy,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,3.3980.000 – 5.912.000,NA,NA,9,9,5,NA,NA,NA,NA,6,NA,NA,6,6,6,c1a
1oyezntv2a,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,1.663.000 – 2.899.000,NA,NA,NA,10,8,4,NA,NA,NA,5,NA,NA,NA,6,6,5,c1a
1qbzp3w53m,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Otros grupos no identificados (incluye rentistas, personas en situación de discapacidad, etc.)",3,NA,NA,447 mil – 779 mil,NA,NA,NA,NA,9,10,3,NA,NA,3,NA,NA,NA,NA,6,6,3,c3
1sqqbqv2x2,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,Más de 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,7,NA,NA,NA,NA,NA,6,6,7,ab
1x4vwsfod5,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",4,NA,NA,NA,Más de 5.057.000,NA,NA,NA,10,9,4,NA,NA,NA,7,NA,NA,NA,6,6,7,ab
1x9db0w61z,Universitaria incompleta (carreras de 4 o más años).,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,8,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
1xk2lhu5l7,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",1,Más de 1.916.000,NA,NA,NA,NA,NA,NA,9,8,1,7,NA,NA,NA,NA,NA,NA,6,6,7,ab
1xve144yu5,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,9,9,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
1xwvchz9vj,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,10,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
1ymttk9xtv,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",1,Menos de 120 mil,NA,NA,NA,NA,NA,NA,9,8,1,1,NA,NA,NA,NA,NA,NA,6,6,1,c3
1z6o9xoot7,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",1,Más de 1.916.000,NA,NA,NA,NA,NA,NA,9,8,1,7,NA,NA,NA,NA,NA,NA,6,6,7,ab
208042777,Básica incompleta; primaria o preparatoria incompleta.,Agricultores y trabajadores calificados agropecuarios y pesqueros.,6,NA,NA,NA,NA,NA,Menos de 417 mil,NA,2,4,6,NA,NA,NA,NA,NA,1,NA,6,6,1,e
20gnbzdlkj,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",4,NA,NA,NA,Más de 5.057.000,NA,NA,NA,10,9,4,NA,NA,NA,7,NA,NA,NA,6,6,7,ab
211j73oyq4,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,1.024.000 – 1.785.000,NA,NA,NA,NA,NA,9,8,2,NA,5,NA,NA,NA,NA,NA,6,6,5,c1a
2154snqwnc,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",5,NA,NA,NA,NA,1.115.000 mil – 1.943.000,NA,NA,10,8,5,NA,NA,NA,NA,4,NA,NA,6,6,4,c1b
21zcr2l3us,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",3,NA,NA,780 mil – 1.359.000,NA,NA,NA,NA,10,8,3,NA,NA,4,NA,NA,NA,NA,6,6,4,c1b
23o56gkxtv,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,10,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
23w4opw8wn,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",4,NA,NA,NA,1.663.000 – 2.899.000,NA,NA,NA,9,9,4,NA,NA,NA,5,NA,NA,NA,6,6,5,c1a
245wqhvg9s,Media científico humanista o media técnico profesional incompleta; humanidades incompletas.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",2,NA,1.024.000 – 1.785.000,NA,NA,NA,NA,NA,4,9,2,NA,5,NA,NA,NA,NA,NA,6,6,5,c1b
25d311c8ky,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,3.3980.000 – 5.912.000,NA,NA,10,9,5,NA,NA,NA,NA,6,NA,NA,6,6,6,c1a
260jvokmkh,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,1.024.000 – 1.785.000,NA,NA,NA,NA,NA,9,8,2,NA,5,NA,NA,NA,NA,NA,6,6,5,c1a
26cy56uw3d,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
2eto4r98g4,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",1,Más de 1.916.000,NA,NA,NA,NA,NA,NA,10,8,1,7,NA,NA,NA,NA,NA,NA,6,6,7,ab
2fxz3pvysy,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",3,NA,NA,Más de 4.135.000,NA,NA,NA,NA,10,8,3,NA,NA,7,NA,NA,NA,NA,6,6,7,ab
2g9ogyfagr,Universitaria incompleta (carreras de 4 o más años).,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,8,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
2hs4zdhc8p,Media científico humanista o media técnico profesional completa; humanidades completas.,Técnicos y profesionales de nivel medio (incluye hasta suboficiales FFAA y Carabineros).,1,631 mil – 1.099.000,NA,NA,NA,NA,NA,NA,5,7,1,5,NA,NA,NA,NA,NA,NA,6,6,5,c2
2jys5okyrz,Básica completa; primaria o preparatoria completa.,"Obreros, operarios y artesanos de artes mecánicas y de otros oficios.",7,NA,NA,NA,NA,NA,NA,464 mil – 808 mil,3,2,7,NA,NA,NA,NA,NA,NA,2,6,6,2,d
2k36w1k6s3,Universitaria incompleta (carreras de 4 o más años).,Trabajadores de los servicios y vendedores de comercio y mercados.,2,NA,587 mil – 1.023.000,NA,NA,NA,NA,NA,8,3,2,NA,4,NA,NA,NA,NA,NA,6,6,4,c2
2p60yjvv8j,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Técnicos y profesionales de nivel medio (incluye hasta suboficiales FFAA y Carabineros).,3,NA,NA,1.360.000 – 2.370.000,NA,NA,NA,NA,9,7,3,NA,NA,5,NA,NA,NA,NA,6,6,5,c1b
2pg66yvsel,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,10,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
2q3h5sbkcc,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Empleados de oficina públicos y privados.,3,NA,NA,1.360.000 – 2.370.000,NA,NA,NA,NA,9,6,3,NA,NA,5,NA,NA,NA,NA,6,6,5,c1b
2r20dyckko,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,Más de 5.057.000,NA,NA,NA,10,8,4,NA,NA,NA,7,NA,NA,NA,6,6,7,ab
2tl9vpsf1f,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,Más de 5.912.000,NA,NA,9,9,5,NA,NA,NA,NA,7,NA,NA,6,6,7,ab
2v8odmsrgb,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Técnicos y profesionales de nivel medio (incluye hasta suboficiales FFAA y Carabineros).,3,NA,NA,1.360.000 – 2.370.000,NA,NA,NA,NA,9,7,3,NA,NA,5,NA,NA,NA,NA,6,6,5,c1b
2xkyenrbzh,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
2ys72zmj4e,Básica completa; primaria o preparatoria completa.,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,3,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1b
2yz2onhcze,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Trabajadores de los servicios y vendedores de comercio y mercados.,4,NA,NA,NA,547 mil – 953 mil,NA,NA,NA,9,3,4,NA,NA,NA,3,NA,NA,NA,6,6,3,c3
30627573,Básica completa; primaria o preparatoria completa.,"Obreros, operarios y artesanos de artes mecánicas y de otros oficios.",4,NA,NA,NA,314 mil – 546 mil,NA,NA,NA,3,2,4,NA,NA,NA,2,NA,NA,NA,6,6,2,d
307hpm5xa5,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,Más de 5.912.000,NA,NA,10,9,5,NA,NA,NA,NA,7,NA,NA,6,6,7,ab
307j2gmw04,Instituto técnico (CFT) o instituto profesional incompleto (carreras de 1 a 3 años).,"Otros grupos no identificados (incluye rentistas, personas en situación de discapacidad, etc.)",3,NA,NA,257 mil – 446 mil,NA,NA,NA,NA,6,10,3,NA,NA,2,NA,NA,NA,NA,6,6,2,d
31ow2qxub2,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",2,NA,Más de 3.113.000,NA,NA,NA,NA,NA,10,8,2,NA,7,NA,NA,NA,NA,NA,6,6,7,ab
3212721014,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,Más de 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,7,NA,NA,NA,NA,NA,6,6,7,ab
32bxso8dzs,Media científico humanista o media técnico profesional completa; humanidades completas.,"Otros grupos no identificados (incluye rentistas, personas en situación de discapacidad, etc.)",2,NA,587 mil – 1.023.000,NA,NA,NA,NA,NA,5,10,2,NA,4,NA,NA,NA,NA,NA,6,6,4,c3
32v4soy9sj,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,Trabajadores de los servicios y vendedores de comercio y mercados.,2,NA,1.024.000 – 1.785.000,NA,NA,NA,NA,NA,9,3,2,NA,5,NA,NA,NA,NA,NA,6,6,5,c1b
33tnugm0g9,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",3,NA,NA,2.371.000 – 4.135.000,NA,NA,NA,NA,10,8,3,NA,NA,6,NA,NA,NA,NA,6,6,6,c1a
35j26vl9w3,"Postgrado (postítulo, master, magíster, doctor).","Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",3,NA,NA,2.371.000 – 4.135.000,NA,NA,NA,NA,10,9,3,NA,NA,6,NA,NA,NA,NA,6,6,6,c1a
370azd2fr3,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,9,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
37vwcgwxjl,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",2,NA,1.786.000 – 3.113.000,NA,NA,NA,NA,NA,9,8,2,NA,6,NA,NA,NA,NA,NA,6,6,6,c1a
38w2v9pbqb,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Profesionales, científicos e intelectuales.",4,NA,NA,NA,1.663.000 – 2.899.000,NA,NA,NA,9,8,4,NA,NA,NA,5,NA,NA,NA,6,6,5,c1a
38yy9vh34o,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",4,NA,NA,NA,1.663.000 – 2.899.000,NA,NA,NA,9,9,4,NA,NA,NA,5,NA,NA,NA,6,6,5,c1a
39k1lsmzo9,"Postgrado (postítulo, master, magíster, doctor).","Profesionales, científicos e intelectuales.",4,NA,NA,NA,2.900.000 – 5.057.000,NA,NA,NA,10,8,4,NA,NA,NA,6,NA,NA,NA,6,6,6,c1a
3bqax9x6pp,Universitaria completa (carreras de 4 o más años); oficial de FFAA y Carabineros.,"Alto ejecutivo (gerente general o gerente de área o sector) de empresa privadas o pública- Director o dueño de grandes empresa- Alto directivo del poder ejecutivo, de los cuerpos legislativos y la administración pública (incluye oficiales de FFAA y Carabineros).",5,NA,NA,NA,NA,3.3980.000 – 5.912.000,NA,NA,9,9,5,NA,NA,NA,NA,6,NA,NA,6,6,6,c1a
